"","DMA","raciallychargedsearch"
"101","SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",61.8925476074219
"102","NEW ORLEANS (LA)",61.9402847290039
"103","MACON (GA)",62.1360740661621
"104","ATLANTA (GA)",62.1513214111328
"105","CHICAGO (IL)",62.9705085754395
"106","FT. WAYNE (IN)",63.1091804504395
"107","NASHVILLE (TN)",63.4325370788574
"108","LAS VEGAS (NV)",63.4750556945801
"109","WATERTOWN (NY)",63.6874618530273
"110","WEST PALM BEACH (FL) - FT. PIERCE (FL)",63.8144683837891
"111","HARTFORD (CT) - NEW HAVEN (CT)",63.8394584655762
"112","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)",63.9273452758789
"113","LOS ANGELES (CA)",64.3878326416016
"114","MEMPHIS (TN)",64.6777877807617
"115","DULUTH (MN) - SUPERIOR (WI)",64.7534561157227
"116","PANAMA CITY (FL)",65.1601181030273
"117","HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)",65.3071517944336
"118","BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)",65.3151702880859
"119","NEW YORK (NY)",65.4460830688477
"120","ODESSA (TX) - MIDLAND (TX)",65.450813293457
"121","CHARLOTTESVILLE",65.5744476318359
"122","OTTUMWA (IA) - KIRKSVILLE (MO)",66.6160736083984
"123","EVANSVILLE (IN)",67.3674545288086
"124","TALLAHASSEE (FL) - THOMASVILLE (GA)",67.7954711914062
"125","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)",67.9085464477539
"126","FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)",67.9573440551758
"127","COLUMBIA (SC)",68.0415573120117
"128","DETROIT (MI)",68.4439163208008
"129","TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",68.7193984985352
"130","SYRACUSE (NY)",69.6427536010742
"131","ALBANY (GA)",69.7058181762695
"132","ROANOKE (VA) - LYNCHBURG (VA)",70.1650009155273
"133","MILWAUKEE (WI)",70.4734802246094
"134","CHATTANOOGA (TN)",70.5852661132812
"135","BATON ROUGE (LA)",70.868522644043
"136","ST. LOUIS (MO)",70.8833389282227
"137","ROCHESTER (NY)",70.9119262695312
"138","MONTGOMERY (AL) - SELMA (AL)",71.1303176879883
"139","JACKSON (MS)",71.3763732910156
"140","LOUISVILLE (KY)",71.6377334594727
"141","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)",71.6518096923828
"142","ROCKFORD (IL)",71.6910781860352
"143","CINCINNATI (OH)",71.8371810913086
"144","ERIE (PA)",72.0394515991211
"145","GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)",72.3750839233398
"146","SAN ANGELO (TX)",72.5416412353516
"147","CHARLOTTE (NC)",72.9956207275391
"148","MONROE (LA) - EL DORADO (AR)",73.0483856201172
"149","JONESBORO (AR)",73.5161514282227
"150","AMARILLO (TX)",73.5409469604492
"151","DOTHAN (AL)",73.7758331298828
"152","SAVANNAH (GA)",74.1728515625
"153","PROVIDENCE (RI) - NEW BEDFORD (MA)",74.6598739624023
"154","KNOXVILLE (TN)",75.165657043457
"155","TOLEDO (OH)",75.4442138671875
"156","COLUMBUS (OH)",75.6885299682617
"157","BUFFALO (NY)",76.0153274536133
"158","PITTSBURGH (PA)",76.0762786865234
"159","ELMIRA (NY)",76.1885299682617
"160","PHILADELPHIA (PA)",77.9318084716797
"161","LEXINGTON (KY)",78.3205871582031
"162","ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",78.5838088989258
"163","AUGUSTA (GA)",78.9077606201172
"164","SHREVEPORT (LA)",79.4286041259766
"165","WILMINGTON (NC)",79.531623840332
"166","LAFAYETTE (LA)",80.3581008911133
"167","ST. JOSEPH (MO)",80.8530349731445
"168","TRI-CITIES, TN-VA",82.2870025634766
"169","CLEVELAND (OH) - AKRON (OH) - CANTON (OH)",83.9634857177734
"170","BEAUMONT (TX) - PORT ARTHUR (TX)",84.9455261230469
"171","FLINT (MI) - SAGINAW (MI) - BAY CITY (MI)",85.8660278320312
"172","BINGHAMTON (NY)",87.5915756225586
"173","TERRE HAUTE (IN)",87.8376617431641
"174","CHARLESTON (WV) - HUNTINGTON (WV)",87.9755020141602
"175","PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS)",88.3188400268555
"176","BOWLING GREEN (KY)",89.2874145507812
"177","ALEXANDRIA (LA)",89.3232345581055
"178","LIMA (OH)",89.3899993896484
"179","MARQUETTE (MI)",89.5017471313477
"180","LAKE CHARLES (LA)",89.6197128295898
"181","WILKES BARRE (PA) - SCRANTON (PA)",90.3399353027344
"182","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)",91.4279632568359
"183","JACKSON (TN)",97.7174682617188
"184","CLARKSBURG (WV) - WESTON (WV)",98.9346389770508
"185","COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)",100.294166564941
"186","ZANESVILLE (OH)",101.175750732422
"187","SHERMAN (TX) - ADA (OK)",101.287109375
"188","FLORENCE (SC) - MYRTLE BEACH (SC)",101.417816162109
"189","BILOXI (MS) - GULFPORT (MS)",101.480712890625
"190","JOHNSTOWN (PA) - ALTOONA (PA)",101.745162963867
"191","HATTIESBURG (MS) - LAUREL (MS)",108.988502502441
"192","YOUNGSTOWN (OH)",114.691246032715
"193","WHEELING (WV) - STEUBENVILLE (OH)",117.837799072266
"194","QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)",121.813148498535
"195","UTICA (NY)",141.408309936523
"196","BLUEFIELD (WV) - BECKLEY (WV) - OAK HILL (WV)",154.510848999023
